Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11256979,The Magic of Reality: How We Know What's Really True,Richard Dawkins,"Dawkins, Richard",Dave McKean,"=""1439192812""","=""9781439192818""",0,4.04,Free Press,Hardcover,271,2011,2011,,2018/09/10,to-read,to-read (#264),to-read,,,,0,,,0,,,,,
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",0,3.96,Penguin Press,Hardcover,480,2014,2014,,2018/09/10,to-read,to-read (#263),to-read,,,,0,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.42,Harvill Secker,Paperback,498,2014,2011,,2018/09/10,to-read,to-read (#262),to-read,,,,0,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.25,Harper,Kindle Edition,450,2017,2017,,2018/09/10,to-read,to-read (#261),to-read,,,,0,,,0,,,,,
25330592,A Full Life: Reflections at Ninety,Jimmy Carter,"Carter, Jimmy",,"=""1501115634""","=""9781501115639""",0,3.80,Simon  Schuster,Hardcover,257,2015,2015,,2018/09/10,to-read,to-read (#260),to-read,,,,0,,,0,,,,,
111185,Physics and Philosophy: The Revolution in Modern Science,Werner Heisenberg,"Heisenberg, Werner",Paul Davies,"=""0141182156""","=""9780141182155""",0,4.02,Penguin Classics,Paperback,176,2000,1958,,2018/09/08,to-read,to-read (#259),to-read,,,,0,,,0,,,,,
39720519,Postcards From a Stranger,Imogen  Clark,"Clark, Imogen",,"=""""","=""""",0,4.08,Lake Union Publishing,Kindle Edition,348,2018,2017,,2018/09/08,to-read,to-read (#258),to-read,,,,0,,,0,,,,,
40785049,Lights on the Sea,Miquel Reina,"Reina, Miquel",Catherine E. Nelson,"=""""","=""""",0,3.99,AmazonCrossing,Kindle Edition,272,2018,2018,,2018/09/08,to-read,to-read (#257),to-read,,,,0,,,0,,,,,
100427,"Day of the Dragon (WarCraft, #1)",Richard A. Knaak,"Knaak, Richard A.",,"=""0671041525""","=""9780671041526""",0,3.80,Pocket Books,Paperback,378,2001,2001,,2018/09/05,to-read,to-read (#256),to-read,,,,0,,,0,,,,,
2569072,The Big Sort: Why the Clustering of Like-Minded America is Tearing Us Apart,Bill Bishop,"Bishop, Bill",,"=""0618689354""","=""9780618689354""",0,3.82,Houghton Mifflin Harcourt,Hardcover,384,2008,2008,,2018/08/28,to-read,to-read (#255),to-read,,,,0,,,0,,,,,
26530355,Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,"Thaler, Richard H.",,"=""039335279X""","=""9780393352795""",0,4.18,W. W. Norton  Company,Paperback,432,2016,2016,,2018/08/28,to-read,to-read (#254),to-read,,,,0,,,0,,,,,
22304,Life After God,Douglas Coupland,"Coupland, Douglas",,"=""0743231511""","=""9780743231510""",0,3.79,Simon & Schuster,Paperback,291,2002,1994,,2018/08/21,to-read,to-read (#253),to-read,,,,0,,,0,,,,,
38089150,The Air You Breathe,Frances de Pontes Peebles,"Peebles, Frances de Pontes",,"=""0735210993""","=""9780735210998""",0,3.87,Riverhead Books,Hardcover,449,2018,2018,,2018/08/07,to-read,to-read (#252),to-read,,,,0,,,0,,,,,
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",0,4.13,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,,2018/07/21,to-read,to-read (#250),to-read,,,,0,,,0,,,,,
253984,A Time of Gifts,Patrick Leigh Fermor,"Fermor, Patrick Leigh",Jan Morris,"=""1590171659""","=""9781590171653""",0,4.06,NYRB Classics,Paperback,321,2005,1977,,2018/07/20,to-read,to-read (#249),to-read,,,,0,,,0,,,,,
64582,Chaos: Making a New Science,James Gleick,"Gleick, James",,"=""0140092501""","=""9780140092509""",0,4.01,Penguin Books,Paperback,352,1988,1987,,2018/07/20,to-read,to-read (#248),to-read,,,,0,,,0,,,,,
36978232,The Death of Truth: Notes on Falsehood in the Age of Trump,Michiko Kakutani,"Kakutani, Michiko",,"=""0525574824""","=""9780525574828""",0,3.82,Tim Duggan Books,Hardcover,208,2018,2018,,2018/07/20,to-read,to-read (#247),to-read,,,,0,,,0,,,,,
331319,An American Tragedy,Theodore Dreiser,"Dreiser, Theodore",Richard R. Lingeman,"=""0451527704""","=""9780451527707""",0,3.95,Signet Classics,Mass Market Paperback,859,2000,1925,,2018/05/13,to-read,to-read (#246),to-read,,,,0,,,0,,,,,
907778,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""0330305018""","=""9780330305013""",4,4.06,"Picador, Pan Book Ltd",Paperback,164,1990,1970,2011/09/24,2011/09/04,,,read,,,,1,,,0,,,,,
6696184,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,"=""""","=""""",0,4.32,Ballantine Books,Hardcover,455,1992,1965,,2013/10/10,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",A.W. Wheen,"=""0449213943""","=""9780449213940""",5,3.98,Ballantine Books,Mass Market Paperback,296,1987,1929,2010/11/22,2010/10/13,favorites,favorites (#2),read,,,,1,,,0,,,,,
11828537,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.16,Dial Press,Paperback,287,2010,1963,,2013/10/10,to-read,to-read (#223),to-read,,,,0,,,0,,,,,
